field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
lon,9.4611,True,2207381,1,9.461076131123548,True,2.3868876452226573e-05,True
altitude,11582.4,True,12582,2,11582.0,True,0.3999999999996362,True
speed,222.93,True,2229,3,222.9,True,0.030000000000001137,True
heading,302.37,True,30237,4,302.37,True,0.0,True
vertical_rate,-0.33,True,32735,5,-0.3299999999999841,True,1.5931700403370996e-14,True
lat,49.2407,True,3244543,0,49.24071293847868,True,1.2938478683111043e-05,True
lon,10.6218,True,2220904,1,10.621764808121867,True,3.519187813338931e-05,True
altitude,5242.56,True,6243,2,5243.0,True,0.4399999999995998,True
speed,192.03,True,1920,3,192.0,True,0.030000000000001137,True
heading,248.8,True,24880,4,248.8,True,0.0,True
vertical_rate,9.43,True,33711,5,9.430000000000007,True,7.105427357601002e-15,True
lat,45.9448,True,3167743,0,45.94481371517509,True,1.3715175086304043e-05,True
lon,11.2937,True,2228733,1,11.293733428414669,True,3.34284146692454e-05,True
altitude,13716,True,14716,2,13716.0,True,0.0,True
speed,255.71,True,2557,3,255.70000000000002,True,0.009999999999990905,True
heading,118.21,True,11821,4,118.21000000000001,True,1.4210854715202004e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,45.7172,True,3162439,0,45.717190675065666,True,9.324934332255452e-06,True
lon,5.0918,True,2156475,1,5.091778061813841,True,2.1938186159253803e-05,True
altitude,,False,0,2,,False,,True
speed,7.2,True,72,3,7.2,True,0.0,True
heading,168.75,True,16875,4,168.75,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4443,True,3202684,0,47.44431911571482,True,1.9115714820827634e-05,True
lon,8.5674,True,2196969,1,8.567406789638227,True,6.789638227644446e-06,True
altitude,,False,0,2,,False,,True
speed,0.06,True,1,3,0.1,True,0.04000000000000001,True
heading,244.69,True,24469,4,244.69,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,48.3537,True,3223874,0,48.353695476936224,True,4.523063779515724e-06,True
lon,9.5029,True,2207868,1,9.502875686377479,True,2.4313622521532352e-05,True
altitude,11894.82,True,12895,2,11895.0,True,0.18000000000029104,True
speed,241.82,True,2418,3,241.8,True,0.01999999999998181,True
heading,152.78,True,15278,4,152.78,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,45.5287,True,3158047,0,45.528706438233,True,6.438233000949367e-06,True
lon,5.104,True,2156617,1,5.103966022483348,True,3.397751665179527e-05,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000000000007276,True
speed,255.67,True,2557,3,255.70000000000002,True,0.03000000000002956,True
heading,110,True,11000,4,110.0,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,47.5896,True,3206069,0,47.589587590596096,True,1.2409403900903726e-05,True
lon,7.5295,True,2184877,1,7.529541857133353,True,4.185713335314034e-05,True
altitude,,False,0,2,,False,,True
speed,22.12,True,221,3,22.1,True,0.019999999999999574,True
heading,334.69,True,33469,4,334.69,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,48.9357,True,3237436,0,48.9357135142597,True,1.3514259705971199e-05,True
lon,8.9906,True,2201900,1,8.990638015422348,True,3.8015422347825734e-05,True
altitude,11582.4,True,12582,2,11582.0,True,0.3999999999996362,True
speed,228.42,True,2284,3,228.4,True,0.01999999999998181,True
heading,300.9,True,30090,4,300.90000000000003,True,5.684341886080802e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,48.6862,True,3231622,0,48.68620364337053,True,3.643370533268353e-06,True
lon,9.2024,True,2204367,1,9.202382374377805,True,1.7625622195538426e-05,True
altitude,,False,0,2,,False,,True
speed,5.66,True,57,3,5.7,True,0.040000000000000036,True
heading,73.12,True,7312,4,73.12,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,49.405,True,3248371,0,49.40499291539024,True,7.084609762841865e-06,True
lon,11.5747,True,2232006,1,11.574657338775921,True,4.2661224078699433e-05,True
altitude,12184.38,True,13184,2,12184.0,True,0.37999999999919964,True
speed,243.99,True,2440,3,244.0,True,0.009999999999990905,True
heading,293.48,True,29348,4,293.48,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,48.5185,True,3227714,0,48.518490438101395,True,9.561898608012598e-06,True
lon,6.298,True,2170529,1,6.298042845259403,True,4.284525940256856e-05,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000000000007276,True
speed,233.65,True,2337,3,233.70000000000002,True,0.05000000000001137,True
heading,181.64,True,18164,4,181.64000000000001,True,2.842170943040401e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,45.7287,True,3162707,0,45.72869199006365,True,8.009936351527358e-06,True
lon,8.7918,True,2199583,1,8.79176826280792,True,3.173719207971715e-05,True
altitude,3314.7,True,4315,2,3315.0,True,0.3000000000001819,True
speed,167.29,True,1673,3,167.3,True,0.010000000000019327,True
heading,152.33,True,15233,4,152.33,True,0.0,True
vertical_rate,-5.85,True,32183,5,-5.850000000000023,True,2.3092638912203256e-14,True
lat,47.4578,True,3202998,0,47.45779453701843,True,5.462981569337444e-06,True
lon,8.5619,True,2196905,1,8.561913624266055,True,1.36242660548902e-05,True
altitude,,False,0,2,,False,,True
speed,2.57,True,26,3,2.6,True,0.03000000000000025,True
heading,275.62,True,27562,4,275.62,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4582,True,3203007,0,47.45818077520866,True,1.9224791337535407e-05,True
lon,8.5491,True,2196756,1,8.549124848633966,True,2.4848633966456646e-05,True
altitude,,False,0,2,,False,,True
speed,4.37,True,44,3,4.4,True,0.03000000000000025,True
heading,278.44,True,27844,4,278.44,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4409,True,3202604,0,47.44088588735721,True,1.4112642787722507e-05,True
lon,8.5624,True,2196911,1,8.562428608519696,True,2.8608519695438872e-05,True
altitude,,False,0,2,,False,,True
speed,2.57,True,26,3,2.6,True,0.03000000000000025,True
heading,219.38,True,21938,4,219.38,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4579,True,3203000,0,47.45788036772737,True,1.963227263246381e-05,True
lon,8.549,True,2196755,1,8.549039017925026,True,3.90179250260303e-05,True
altitude,,False,0,2,,False,,True
speed,4.89,True,49,3,4.9,True,0.010000000000000675,True
heading,247.5,True,24750,4,247.5,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4568,True,3202975,0,47.45680748386562,True,7.483865616109142e-06,True
lon,8.5628,True,2196915,1,8.562771931355456,True,2.8068644542855736e-05,True
altitude,,False,0,2,,False,,True
speed,0,True,0,3,0.0,True,0.0,True
heading,118.12,True,11812,4,118.12,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,49.484,True,3250212,0,49.484000082969686,True,8.296968445620223e-08,True
lon,5.0333,True,2155794,1,5.033327349025569,True,2.7349025569556318e-05,True
altitude,10957.56,True,11958,2,10958.0,True,0.4400000000005093,True
speed,233.06,True,2331,3,233.10000000000002,True,0.040000000000020464,True
heading,36.11,True,3611,4,36.11,True,0.0,True
vertical_rate,5.85,True,33353,5,5.850000000000023,True,2.3092638912203256e-14,True
lat,47.8793,True,3212820,0,47.87930914862375,True,9.148623746568774e-06,True
lon,8.0462,True,2190897,1,8.046242724953316,True,4.2724953315698144e-05,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000000000007276,True
speed,229.54,True,2295,3,229.5,True,0.03999999999999204,True
heading,225.45,True,22545,4,225.45000000000002,True,2.842170943040401e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,46.8685,True,3189266,0,46.868480889435034,True,1.9110564963398247e-05,True
lon,11.209,True,2227746,1,11.209018518690698,True,1.8518690698243745e-05,True
altitude,9730.74,True,10731,2,9731.0,True,0.2600000000002183,True
speed,243.53,True,2435,3,243.5,True,0.030000000000001137,True
heading,222.86,True,22286,4,222.86,True,0.0,True
vertical_rate,-8.13,True,31955,5,-8.129999999999995,True,5.329070518200751e-15,True
lat,49.3949,True,3248136,0,49.394907807089766,True,7.807089765776709e-06,True
lon,10.7743,True,2222681,1,10.77428597790859,True,1.4022091409771065e-05,True
altitude,10363.2,True,11363,2,10363.0,True,0.2000000000007276,True
speed,243.05,True,2431,3,243.10000000000002,True,0.05000000000001137,True
heading,288.51,True,28851,4,288.51,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,47.8813,True,3212866,0,47.88128325492937,True,1.6745070631429826e-05,True
lon,7.6513,True,2186296,1,7.651335633119487,True,3.563311948706627e-05,True
altitude,11277.6,True,12278,2,11278.0,True,0.3999999999996362,True
speed,258.28,True,2583,3,258.3,True,0.020000000000038654,True
heading,104.06,True,10406,4,104.06,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,46.5154,True,3181039,0,46.51541626820952,True,1.626820952083108e-05,True
lon,5.7767,True,2164455,1,5.776707119156612,True,7.119156611778976e-06,True
altitude,11277.6,True,12278,2,11278.0,True,0.3999999999996362,True
speed,225.56,True,2256,3,225.60000000000002,True,0.040000000000020464,True
heading,195.75,True,19575,4,195.75,True,0.0,True
vertical_rate,0.33,True,32801,5,0.3299999999999841,True,1.5931700403370996e-14,True
lat,48.7388,True,3232848,0,48.7388178679509,True,1.7867950901973018e-05,True
lon,9.4245,True,2206955,1,9.424512249115025,True,1.2249115025397828e-05,True
altitude,11582.4,True,12582,2,11582.0,True,0.3999999999996362,True
speed,222.93,True,2229,3,222.9,True,0.030000000000001137,True
heading,302.37,True,30237,4,302.37,True,0.0,True
vertical_rate,0.33,True,32801,5,0.3299999999999841,True,1.5931700403370996e-14,True
lat,49.2319,True,3244338,0,49.23191529081231,True,1.529081230700058e-05,True
lon,10.5875,True,2220505,1,10.58751835525473,True,1.8355254729485182e-05,True
altitude,5372.1,True,6372,2,5372.0,True,0.1000000000003638,True
speed,193.84,True,1938,3,193.8,True,0.03999999999999204,True
heading,248.68,True,24868,4,248.68,True,0.0,True
vertical_rate,9.1,True,33678,5,9.100000000000023,True,2.3092638912203256e-14,True
lat,45.9295,True,3167386,0,45.92949293362926,True,7.066370734776228e-06,True
lon,11.3345,True,2229208,1,11.33450301516126,True,3.0151612602224986e-06,True
altitude,13716,True,14716,2,13716.0,True,0.0,True
speed,255.71,True,2557,3,255.70000000000002,True,0.009999999999990905,True
heading,118.21,True,11821,4,118.21000000000001,True,1.4210854715202004e-14,True
vertical_rate,-0.33,True,32735,5,-0.3299999999999841,True,1.5931700403370996e-14,True
lat,45.7164,True,3162421,0,45.716418198685204,True,1.8198685204140475e-05,True
lon,5.0926,True,2156485,1,5.092636368903243,True,3.63689032427672e-05,True
altitude,,False,0,2,,False,,True
speed,8.23,True,82,3,8.200000000000001,True,0.02999999999999936,True
heading,81.56,True,8156,4,81.56,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4443,True,3202684,0,47.44431911571482,True,1.9115714820827634e-05,True
lon,8.5674,True,2196969,1,8.567406789638227,True,6.789638227644446e-06,True
altitude,,False,0,2,,False,,True
speed,0.39,True,4,3,0.4,True,0.010000000000000009,True
heading,244.69,True,24469,4,244.69,True,0.0,True
vertical_rate,,False,0,5,,False,,True
